date,home_team,away_team,time,match_id,attacks_home,attacks_away,attempts_on_goal_home,attempts_on_goal_away,corners_home,corners_away,dangerous_attacks_home,dangerous_attacks_away,fauls_home,fauls_away,free_kicks_home,free_kicks_away,goal_kicks_home,goal_kicks_away,offsides_home,offsides_away,penalties_home,penalties_away,possesion_home,possesion_away,red_cards_home,red_cards_away,saves_home,saves_away,shots_blocked_home,shots_blocked_away,shots_off_target_home,shots_off_target_away,shots_on_target_home,shots_on_target_away,substitutions_home,substitutions_away,throw_ins_home,throw_ins_away,treatments_home,treatments_away,yellow_cards_home,yellow_cards_away,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away
2025-04-12,GKS Katowice,Puszcza Niepolomice,12:45,615846,83.0,70.0,25.0,9.0,2,5,91.0,70.0,2,15,,,,,0.0,2.0,0.0,0.0,62.0,38.0,0.0,0.0,1.0,8.0,6.0,3.0,16.0,7.0,9,2,,,,,,,0.0,1.0,0.0,1.0,3,1
2025-04-11,Korona Kielce,Widzew Lodz,18:30,615535,84.0,66.0,18.0,11.0,9,4,56.0,39.0,11,19,,,,,1.0,1.0,0.0,0.0,53.0,47.0,0.0,0.0,2.0,2.0,6.0,3.0,13.0,9.0,5,2,,,,,,,3.0,3.0,0.0,0.0,2,1
2025-04-11,Zaglebie Lubin,Gornik Zabrze,16:00,615433,82.0,126.0,14.0,13.0,3,2,64.0,67.0,13,9,0.0,0.0,,,0.0,1.0,1.0,0.0,30.0,70.0,0.0,0.0,6.0,3.0,3.0,4.0,9.0,6.0,5,7,,,,,,,3.0,4.0,0.0,1.0,2,1
2025-04-07,Puszcza Niepolomice,Rakow Czestochowa,17:00,614898,75.0,91.0,19.0,18.0,5,4,67.0,79.0,16,11,,,,,0.0,1.0,,,42.0,57.0,0.0,0.0,5.0,3.0,7.0,3.0,12.0,12.0,4,6,,,,,,,3.0,1.0,0.0,1.0,1,1
2025-04-06,Pogon Szczecin,GKS Katowice,15:30,614530,59.0,64.0,18.0,10.0,6,4,50.0,58.0,6,9,,,,,0.0,3.0,1.0,0.0,50.0,50.0,0.0,0.0,0.0,4.0,5.0,5.0,10.0,10.0,8,0,,,,,,,0.0,1.0,1.0,0.0,4,0
2025-04-06,Gornik Zabrze,Legia Warszawa,12:45,613589,104.0,108.0,15.0,6.0,5,5,88.0,72.0,16,14,12.0,17.0,,,2.0,1.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,3.0,5.0,2.0,10.0,4.0,4,2,,,,,,,2.0,3.0,1.0,0.0,1,2
2025-04-06,Jagiellonia Bialystok,Piast Gliwice,10:15,613426,45.0,38.0,12.0,13.0,5,4,56.0,39.0,8,12,0.0,0.0,,,2.0,5.0,0.0,0.0,56.0,44.0,0.0,0.0,3.0,3.0,2.0,5.0,9.0,9.0,3,4,,,,,,,0.0,2.0,1.0,0.0,1,1
2025-04-05,Lech Poznan,Korona Kielce,18:15,613137,77.0,81.0,14.0,19.0,5,6,56.0,50.0,12,13,,,,,1.0,1.0,0.0,0.0,62.0,38.0,0.0,0.0,5.0,2.0,4.0,6.0,10.0,14.0,4,5,,,,,,,1.0,4.0,1.0,0.0,2,0
2025-04-05,Slask Wroclaw,Motor Lublin,15:30,612936,102.0,111.0,10.0,23.0,2,8,67.0,90.0,7,18,23.0,11.0,,,4.0,5.0,0.0,0.0,43.0,57.0,0.0,0.0,3.0,2.0,4.0,9.0,7.0,19.0,3,4,,,,,,,2.0,1.0,1.0,0.0,1,1
2025-04-05,RKS Radomiak 1910 SA Radom,Zaglebie Lubin,12:45,612015,104.0,80.0,13.0,11.0,8,5,54.0,46.0,14,10,0.0,0.0,,,0.0,1.0,0.0,0.0,55.0,45.0,0.0,0.0,2.0,3.0,8.0,3.0,10.0,8.0,3,4,,,,,,,1.0,3.0,0.0,1.0,0,1
2025-04-04,Widzew Lodz,Lechia Gdansk,18:30,611707,55.0,62.0,11.0,6.0,4,5,51.0,55.0,20,13,,,,,2.0,2.0,0.0,0.0,55.0,45.0,0.0,0.0,3.0,3.0,3.0,1.0,6.0,3.0,5,3,,,,,,,2.0,2.0,2.0,0.0,2,0
2025-04-04,Stal Mielec,Cracovia,16:00,611592,90.0,100.0,10.0,19.0,7,3,65.0,60.0,11,11,0.0,0.0,,,2.0,2.0,0.0,0.0,47.0,53.0,0.0,0.0,3.0,2.0,3.0,5.0,8.0,15.0,3,4,,,,,,,1.0,2.0,1.0,0.0,1,1
2025-03-31,Zaglebie Lubin,Rakow Czestochowa,17:00,610989,62.0,116.0,9.0,21.0,4,12,48.0,114.0,12,9,,,,,0.0,0.0,0.0,1.0,18.0,82.0,1.0,0.0,3.0,2.0,2.0,10.0,7.0,16.0,2,5,,,,,,,3.0,4.0,0.0,0.0,0,2
2025-03-30,GKS Katowice,Gornik Zabrze,15:30,610743,65.0,86.0,17.0,25.0,4,9,59.0,77.0,13,9,11.0,15.0,,,2.0,0.0,0.0,0.0,42.0,58.0,0.0,0.0,8.0,3.0,3.0,9.0,12.0,16.0,5,9,,,,,,,1.0,1.0,1.0,0.0,2,1
2025-03-30,Motor Lublin,Stal Mielec,12:45,610549,64.0,77.0,14.0,18.0,3,6,35.0,53.0,16,10,,,,,2.0,2.0,0.0,0.0,46.0,54.0,0.0,0.0,3.0,4.0,5.0,4.0,7.0,14.0,7,4,,,,,,,1.0,1.0,1.0,0.0,4,1
2025-03-30,Korona Kielce,RKS Radomiak 1910 SA Radom,10:15,610443,94.0,78.0,18.0,10.0,8,5,87.0,52.0,12,17,16.0,0.0,,,0.0,1.0,0.0,0.0,62.0,38.0,0.0,0.0,1.0,1.0,4.0,3.0,16.0,6.0,2,4,,,,,,,2.0,4.0,1.0,1.0,1,3
2025-03-29,Slask Wroclaw,Lech Poznan,19:15,610184,54.0,91.0,20.0,13.0,6,5,51.0,69.0,12,13,,,,,1.0,0.0,1.0,1.0,39.0,61.0,0.0,0.0,2.0,3.0,5.0,4.0,14.0,9.0,6,3,,,,,,,6.0,2.0,1.0,1.0,3,1
2025-03-29,Lechia Gdansk,Jagiellonia Bialystok,16:30,610007,76.0,93.0,17.0,19.0,3,11,39.0,83.0,10,8,0.0,0.0,,,0.0,0.0,0.0,0.0,44.0,56.0,0.0,0.0,1.0,4.0,5.0,9.0,12.0,18.0,5,1,,,,,,,3.0,0.0,0.0,0.0,1,0
2025-03-29,Cracovia,Puszcza Niepolomice,13:45,609350,66.0,74.0,20.0,9.0,5,4,60.0,56.0,8,17,0.0,9.0,,,1.0,0.0,0.0,0.0,50.0,50.0,0.0,1.0,3.0,1.0,9.0,3.0,14.0,5.0,4,4,,,,,,,3.0,2.0,2.0,1.0,3,1
2025-03-28,Legia Warszawa,Pogon Szczecin,19:30,609025,94.0,72.0,14.0,11.0,8,5,61.0,48.0,11,12,0.0,13.0,,,3.0,0.0,0.0,0.0,57.0,43.0,0.0,0.0,5.0,5.0,6.0,4.0,9.0,6.0,5,4,,,,,,,2.0,3.0,0.0,0.0,0,0
